protein,sample,abundance,intervention,fiber_type
MYH4,s_80,1.5703176546333348,terbutaline,II
MYH4,s_61,16.689745025102024,terbutaline,I
MYH4,s_60,0.309555454625725,terbutaline,II
MYH4,s_71,16.483675134966287,terbutaline,I
MYH4,s_27,10.886653230293824,resistance,I
MYH4,s_76,1.2082116749728793,terbutaline,II
MYH4,s_79,4.670148996512813,terbutaline,I
MYH4,s_41,13.579133037547319,terbutaline,I
MYH4,s_43,12.376669988029343,terbutaline,I
MYH4,s_78,3.4804064617230104,terbutaline,II
MYH4,s_82,3.796982504035816,terbutaline,II
MYH4,s_40,13.455087944112254,resistance,II
MYH4,s_73,10.23955860841924,terbutaline,I
MYH4,s_84,1.0615898958308632,terbutaline,II
